to;dlr;the;at;and;oil;a;of;standard;network;said;bank;in;creditor;develop;lo;feb;angel;x;rate;level;iv;v;nil;mar;prev;total;offer;it;debt;moody';stock;mln;for;onecommon;co;wa;patent;cftc;we;gencorp;common;jone;net;ct;vs;profit
0.0638825720447;0.0638825720447;0.0851767627262;0.0905003103966;0.106470953408;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.101907912547;0.0;0.0;0.101907912547;0.101907912547;0.101907912547;0.13587721673;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.190228103422;0.0;0.0;0.0;0.0;0.0;0.0;0.0951140517109;0.0951140517109;0.142671077566;0.190228103422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.713355387832;0.713355387832;0.713355387832;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0873496393264;0.0873496393264;0.109187049158;0.109187049158;0.13102445899;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15706907622;0.0;0.0;0.0;0.0;0.0;0.0;0.137435441692;0.137435441692;0.15706907622;0.176702710747;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.147590769896;0.0;0.0;0.0;0.110693077422;0.110693077422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.110693077422;0.147590769896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0802524811311;0.0;0.0;0.0;0.0;0.0;0.0;0.0802524811311;0.0;0.0;0.0535016540874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0535016540874;0.0802524811311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.164620474115;0.0;0.0;0.0823102370575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0823102370575;0.0823102370575;0.0823102370575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0836897382373;0.0;0.167379476475;0.0;0.0;0.0;0.0;0.107601092019;0.0;0.0;0.0717340613462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0836897382373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.225270122473;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.112635061237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.112635061237;0.112635061237;0.112635061237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.188039286332;0.0;0.0;0.0;0.0984967690312;0.0626797621108;0.0;0.0;0.0;0.0;0.0984967690312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0716340138409;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.102605911948;0.0;0.219869811318;0.0;0.0;0.0;0.0;0.102605911948;0.0;0.0;0.0586319496848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0439739622636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0809754764566;0.0;0.150383027705;0.0;0.0578396260404;0.0;0.0578396260404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0578396260404;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.149804631445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.107003308175;0.0;0.107003308175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0856026465399;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0856026465399;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.188325822388;0.0;0.0;0.0;0.0;0.205446351696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.136964234464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.102723175848;0.188325822388;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21400661635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.160504962262;0.160504962262;0.321009924524;0.321009924524
